platform,scheduled_at,utm_content,asset,cta_url,text
x,2026-06-13T18:00:00+02:00,2026-06-13-vercel-day-prelaunch,packages/shared/content/product-hunt-vercel-day/gallery/02-vercel-stack.png,https://outna.me/product-hunt?utm_source=x&utm_medium=social&utm_campaign=vercel-day-2026&utm_content=2026-06-13-vercel-day-prelaunch,"OUTNA.ME is launching on Product Hunt for Vercel Day on Tuesday.\n\nThe fit is literal:\n\n- Vercel Sandbox for isolated agent state\n- Vercel Workflow for durable runs\n- AI SDK for model/tool work\n- Chat SDK for product surfaces\n\nI am collecting feedback here:\nhttps://outna.me/product-hunt?utm_source=x&utm_medium=social&utm_campaign=vercel-day-2026&utm_content=2026-06-13-vercel-day-prelaunch"
linkedin,2026-06-13T18:10:00+02:00,2026-06-13-vercel-day-prelaunch,packages/shared/content/product-hunt-vercel-day/gallery/02-vercel-stack.png,https://outna.me/product-hunt?utm_source=linkedin&utm_medium=social&utm_campaign=vercel-day-2026&utm_content=2026-06-13-vercel-day-prelaunch,"OUTNA.ME is launching on Product Hunt for Vercel Day this Tuesday.\n\nThe product is a hosted personal AI agent runtime: memory, schedules, tools, sub-agents, channels, and sandboxed execution.\n\nThe Vercel angle is not a badge. It is the runtime architecture:\n\n- Vercel Sandbox for isolated agent work\n- Vercel Workflow for durable execution\n- AI SDK for model and tool calls\n- Chat SDK for product and channel surfaces\n\nI am using the launch to get blunt feedback on positioning and first-use agents.\n\nLaunch landing page:\nhttps://outna.me/product-hunt?utm_source=linkedin&utm_medium=social&utm_campaign=vercel-day-2026&utm_content=2026-06-13-vercel-day-prelaunch"
x,2026-06-15T11:30:00+02:00,2026-06-15-tomorrow-reminder,packages/shared/content/product-hunt-vercel-day/gallery/01-outname-hero.png,https://outna.me/product-hunt?utm_source=x&utm_medium=social&utm_campaign=vercel-day-2026&utm_content=2026-06-15-tomorrow-reminder,"OUTNA.ME launches tomorrow on Product Hunt for Vercel Day.\n\nThe question I care about most:\n\nWhat recurring work would you actually trust a small personal agent to keep moving without a fresh prompt?\n\nLanding page:\nhttps://outna.me/product-hunt?utm_source=x&utm_medium=social&utm_campaign=vercel-day-2026&utm_content=2026-06-15-tomorrow-reminder"
linkedin,2026-06-15T11:40:00+02:00,2026-06-15-tomorrow-reminder,packages/shared/content/product-hunt-vercel-day/gallery/01-outname-hero.png,https://outna.me/product-hunt?utm_source=linkedin&utm_medium=social&utm_campaign=vercel-day-2026&utm_content=2026-06-15-tomorrow-reminder,"Tomorrow OUTNA.ME launches on Product Hunt for Vercel Day.\n\nI am not optimizing for a vague AI demo. The product argument is specific:\n\nA useful personal agent is not one big assistant. It is a small operational unit with memory, a schedule, tools, channels, and a clear job.\n\nThe landing page is ready here:\nhttps://outna.me/product-hunt?utm_source=linkedin&utm_medium=social&utm_campaign=vercel-day-2026&utm_content=2026-06-15-tomorrow-reminder\n\nTomorrow I would value comments and criticism on the positioning."
x,2026-06-16T09:10:00+02:00,2026-06-16-live-now,packages/shared/content/product-hunt-vercel-day/gallery/02-vercel-stack.png,{{PRODUCT_HUNT_URL}},"OUTNA.ME is live on Product Hunt for Vercel Day.\n\nBuilt with Vercel Sandbox, Workflow, AI SDK, and Chat SDK.\n\nWould value honest feedback on the positioning and what first agent you would create:\n{{PRODUCT_HUNT_URL}}"
linkedin,2026-06-16T09:20:00+02:00,2026-06-16-live-now,packages/shared/content/product-hunt-vercel-day/gallery/02-vercel-stack.png,{{PRODUCT_HUNT_URL}},"OUTNA.ME is live on Product Hunt for Vercel Day.\n\nIt is a hosted personal AI agent runtime: memory, schedules, tools, sub-agents, channels, and sandboxed execution.\n\nThe launch is tagged Vercel Day because the product uses Vercel primitives directly:\n\n- Sandbox for isolated agent state\n- Workflow for durable runs\n- AI SDK for model/tool work\n- Chat SDK for product surfaces\n\nI would appreciate specific feedback or questions on the Product Hunt page:\n{{PRODUCT_HUNT_URL}}"
x,2026-06-16T10:30:00+02:00,2026-06-16-live-fallback,packages/shared/content/product-hunt-vercel-day/gallery/02-vercel-stack.png,https://outna.me/product-hunt?utm_source=x&utm_medium=social&utm_campaign=vercel-day-2026&utm_content=2026-06-16-live-fallback,"OUTNA.ME's Vercel Day launch page is live.\n\nThe Product Hunt URL was not available when the automation ran, so I am keeping the feedback loop here instead of posting a placeholder.\n\nWould value blunt feedback on the positioning and first-use agents:\nhttps://outna.me/product-hunt?utm_source=x&utm_medium=social&utm_campaign=vercel-day-2026&utm_content=2026-06-16-live-fallback"
linkedin,2026-06-16T10:40:00+02:00,2026-06-16-live-fallback,packages/shared/content/product-hunt-vercel-day/gallery/02-vercel-stack.png,https://outna.me/product-hunt?utm_source=linkedin&utm_medium=social&utm_campaign=vercel-day-2026&utm_content=2026-06-16-live-fallback,"OUTNA.ME's Vercel Day launch page is live.\n\nThe Product Hunt URL was not available when the automation ran, so this fallback keeps the launch moving without pretending there is a Product Hunt link to click.\n\nThe product argument is still the same: hosted personal AI agents with memory, schedules, tools, sub-agents, channels, and sandboxed execution.\n\nBuilt with Vercel Sandbox, Workflow, AI SDK, and Chat SDK.\n\nI would value practical feedback on the positioning and what first agent you would trust:\nhttps://outna.me/product-hunt?utm_source=linkedin&utm_medium=social&utm_campaign=vercel-day-2026&utm_content=2026-06-16-live-fallback"
x,2026-06-16T17:00:00+02:00,2026-06-16-midday-feedback,packages/shared/content/product-hunt-vercel-day/gallery/03-agent-runtime.png,{{PRODUCT_HUNT_URL}},"Midday Product Hunt ask for OUTNA.ME:\n\nNot support. Feedback.\n\n1. Is the hosted agent runtime positioning clear?\n2. Does the Vercel stack make the product more credible?\n3. What first agent would you create?\n\n{{PRODUCT_HUNT_URL}}"
x,2026-06-17T11:00:00+02:00,2026-06-17-recap,packages/shared/content/product-hunt-vercel-day/gallery/03-agent-runtime.png,{{PRODUCT_HUNT_URL}},"Quick OUTNA.ME Product Hunt follow-up:\n\nThe useful part was seeing which pieces people questioned first: trust, first agent use case, and how much autonomy should be default.\n\nThat is exactly the feedback loop I wanted.\n\nLaunch thread:\n{{PRODUCT_HUNT_URL}}"
linkedin,2026-06-17T11:10:00+02:00,2026-06-17-recap,packages/shared/content/product-hunt-vercel-day/gallery/03-agent-runtime.png,{{PRODUCT_HUNT_URL}},"A short OUTNA.ME Product Hunt follow-up.\n\nThe most useful launch feedback was not generic support. It was the practical tension around autonomous agents:\n\n- what should run without asking?\n- what should wait for approval?\n- what memory should be explicit?\n- what first agent is narrow enough to trust?\n\nThat is the right shape of feedback for an early product.\n\nLaunch thread:\n{{PRODUCT_HUNT_URL}}"
x,2026-06-17T12:00:00+02:00,2026-06-17-recap-fallback,packages/shared/content/product-hunt-vercel-day/gallery/03-agent-runtime.png,https://outna.me/product-hunt?utm_source=x&utm_medium=social&utm_campaign=vercel-day-2026&utm_content=2026-06-17-recap-fallback,"Short OUTNA.ME Vercel Day follow-up:\n\nThe Product Hunt URL was not available to automation, so I am keeping the recap on the launch page.\n\nThe useful questions are still practical:\n\n1. What should run without asking?\n2. What should wait for approval?\n3. What first agent is narrow enough to trust?\n\nhttps://outna.me/product-hunt?utm_source=x&utm_medium=social&utm_campaign=vercel-day-2026&utm_content=2026-06-17-recap-fallback"
linkedin,2026-06-17T12:10:00+02:00,2026-06-17-recap-fallback,packages/shared/content/product-hunt-vercel-day/gallery/03-agent-runtime.png,https://outna.me/product-hunt?utm_source=linkedin&utm_medium=social&utm_campaign=vercel-day-2026&utm_content=2026-06-17-recap-fallback,"A short OUTNA.ME Vercel Day launch follow-up.\n\nThe Product Hunt URL was not available to the automation, so this fallback keeps the feedback loop on the launch page rather than sending people to a missing link.\n\nThe most useful feedback is practical:\n\n- what should run without asking?\n- what should wait for approval?\n- what memory should be explicit?\n- what first agent is narrow enough to trust?\n\nLaunch page:\nhttps://outna.me/product-hunt?utm_source=linkedin&utm_medium=social&utm_campaign=vercel-day-2026&utm_content=2026-06-17-recap-fallback"
